behavior_id,behavior_ko,definition,field_evidence
predatory,포식형,먹이 탐색과 사냥이 주 행동인 유형,피해자·사체·먹이 흔적
territorial,영역형,영역 침입에 강하게 반응하는 유형,영역 표시·경계선
ambush,매복형,숨어 있다가 접근자를 기습하는 유형,은신 지점·끌려간 흔적
pursuit,추격형,도망치는 대상을 장거리 추적하는 유형,반복 발자국·후미 피해
scavenger,청소부형,사체와 폐기물을 따라 움직이는 유형,부패지·뼈무더기
guardian,수호형,장소·대상·성소·핵을 지키는 유형,반복 순찰·접근 저지
nesting,둥지형,알·새끼·군락을 중심으로 움직이는 유형,둥지·알·새끼
swarming,군집형,다수 개체가 한 위협처럼 움직이는 유형,무리 이동·동시 반응
luring,유인형,소리·빛·냄새·환상으로 대상을 끌어들이는 유형,목소리 모방·미끼
migratory,이동형,계절·먹이·위협 때문에 이동하는 유형,행렬 흔적·방향성
ritualistic,의식형,반복 의식·제물·문양과 결합한 유형,원형 배치·룬
commanded,명령형,상위 개체나 제작자의 명령에 따라 움직이는 유형,지휘 흔적·동시 행동
frenzied,광폭형,피해·빛·소리·침입에 광폭화하는 유형,급격한 피해 증가
curious,탐색형,즉각 공격보다 관찰과 접근을 반복하는 유형,거리 유지·시선
avoidant,회피형,직접 교전을 피하고 흔적만 남기는 유형,간접 피해·도주
mimicry,모방형,소리·모습·행동을 모방하는 유형,가짜 목소리·위장
parasitic,기생형,숙주 확보와 내부 침투가 중심인 유형,이상 행동 피해자
resource_drawn,자원 반응형,흑마석·핵·시료·보급품에 반응하는 유형,운송물 주변 접근
