link_id,major_type_en,subtype_id,trace_id,weight,required,notes
stl_aberration_001_warped_footprints,Aberration,aberration_001,warped_footprints,65,true,Aberration 대분류 기본 흔적
stl_aberration_001_psychic_nosebleed,Aberration,aberration_001,psychic_nosebleed,60,false,Aberration 대분류 기본 흔적
stl_aberration_001_black_ichor,Aberration,aberration_001,black_ichor,55,false,Aberration 대분류 기본 흔적
stl_aberration_001_floating_dust_ring,Aberration,aberration_001,floating_dust_ring,45,false,Aberration 대분류 기본 흔적
stl_aberration_001_slime_trail,Aberration,aberration_001,slime_trail,90,true,촉수 분류
stl_aberration_001_drag_marks,Aberration,aberration_001,drag_marks,76,false,촉수 분류
stl_aberration_001_footprints_deep,Aberration,aberration_001,footprints_deep,25,false,범용 보정 후보
stl_aberration_001_dried_blood,Aberration,aberration_001,dried_blood,25,false,범용 보정 후보
stl_aberration_001_territory_scratches,Aberration,aberration_001,territory_scratches,25,false,범용 보정 후보
stl_aberration_002_warped_footprints,Aberration,aberration_002,warped_footprints,65,true,Aberration 대분류 기본 흔적
stl_aberration_002_psychic_nosebleed,Aberration,aberration_002,psychic_nosebleed,60,false,Aberration 대분류 기본 흔적
stl_aberration_002_black_ichor,Aberration,aberration_002,black_ichor,55,false,Aberration 대분류 기본 흔적
stl_aberration_002_floating_dust_ring,Aberration,aberration_002,floating_dust_ring,45,false,Aberration 대분류 기본 흔적
stl_aberration_002_psychic_scratches,Aberration,aberration_002,psychic_scratches,76,false,정신/환각 분류
stl_aberration_002_footprints_deep,Aberration,aberration_002,footprints_deep,25,false,범용 보정 후보
stl_aberration_002_dried_blood,Aberration,aberration_002,dried_blood,25,false,범용 보정 후보
stl_aberration_002_territory_scratches,Aberration,aberration_002,territory_scratches,25,false,범용 보정 후보
stl_aberration_003_warped_footprints,Aberration,aberration_003,warped_footprints,65,true,Aberration 대분류 기본 흔적
stl_aberration_003_psychic_nosebleed,Aberration,aberration_003,psychic_nosebleed,60,false,Aberration 대분류 기본 흔적
stl_aberration_003_black_ichor,Aberration,aberration_003,black_ichor,55,false,Aberration 대분류 기본 흔적
stl_aberration_003_floating_dust_ring,Aberration,aberration_003,floating_dust_ring,45,false,Aberration 대분류 기본 흔적
stl_aberration_003_psychic_scratches,Aberration,aberration_003,psychic_scratches,90,true,시선/광선 분류
stl_aberration_003_footprints_deep,Aberration,aberration_003,footprints_deep,25,false,범용 보정 후보
stl_aberration_003_dried_blood,Aberration,aberration_003,dried_blood,25,false,범용 보정 후보
stl_aberration_003_territory_scratches,Aberration,aberration_003,territory_scratches,25,false,범용 보정 후보
stl_aberration_004_warped_footprints,Aberration,aberration_004,warped_footprints,65,true,Aberration 대분류 기본 흔적
stl_aberration_004_psychic_nosebleed,Aberration,aberration_004,psychic_nosebleed,60,false,Aberration 대분류 기본 흔적
stl_aberration_004_black_ichor,Aberration,aberration_004,black_ichor,55,false,Aberration 대분류 기본 흔적
stl_aberration_004_floating_dust_ring,Aberration,aberration_004,floating_dust_ring,45,false,Aberration 대분류 기본 흔적
stl_aberration_004_slime_trail,Aberration,aberration_004,slime_trail,90,true,기생/공생 분류
stl_aberration_004_footprints_deep,Aberration,aberration_004,footprints_deep,25,false,범용 보정 후보
stl_aberration_004_dried_blood,Aberration,aberration_004,dried_blood,25,false,범용 보정 후보
stl_aberration_004_territory_scratches,Aberration,aberration_004,territory_scratches,25,false,범용 보정 후보
stl_aberration_005_warped_footprints,Aberration,aberration_005,warped_footprints,65,true,Aberration 대분류 기본 흔적
stl_aberration_005_psychic_nosebleed,Aberration,aberration_005,psychic_nosebleed,60,false,Aberration 대분류 기본 흔적
stl_aberration_005_black_ichor,Aberration,aberration_005,black_ichor,55,false,Aberration 대분류 기본 흔적
stl_aberration_005_floating_dust_ring,Aberration,aberration_005,floating_dust_ring,45,false,Aberration 대분류 기본 흔적
stl_aberration_005_slime_trail,Aberration,aberration_005,slime_trail,90,true,기생/공생 분류
stl_aberration_005_footprints_deep,Aberration,aberration_005,footprints_deep,25,false,범용 보정 후보
stl_aberration_005_dried_blood,Aberration,aberration_005,dried_blood,25,false,범용 보정 후보
stl_aberration_005_territory_scratches,Aberration,aberration_005,territory_scratches,25,false,범용 보정 후보
stl_aberration_006_warped_footprints,Aberration,aberration_006,warped_footprints,65,true,Aberration 대분류 기본 흔적
stl_aberration_006_psychic_nosebleed,Aberration,aberration_006,psychic_nosebleed,60,false,Aberration 대분류 기본 흔적
