notice_no,notice_id,route_id,route_name,notice_group,notice_name,recommended_rank,public_summary,primary_objective,field_situation,unknown_factor,complication,record_targets,failure_condition,follow_up,public_notice_text
1,notice_001_solver_구조_구호,solver,해결사,민생·구조,구조·구호,하급~중급,구조·구호 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.,생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다.,"현장은 '구조·구호' 성격의 사건으로 분류되며, 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.","피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다.",현지 주민의 공포와 혼란 때문에 증언이 서로 어긋난다.,"생존자 증언, 피해자 명단, 이동 경로, 현장 오염 흔적",구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다.,잔향·던전·재앙성 흔적이 확인되면 해당 전문 공고로 재분류한다.,"[구조·구호] 구조·구호 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다. 주요 목표는 생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다. 확인해야 할 미지는 피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다. 실패 시 구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다."
2,notice_002_solver_소문_괴담_검증,solver,해결사,민생·구조,소문·괴담 검증,하급~중급,소문·괴담 검증 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.,생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다.,"현장은 '소문·괴담 검증' 성격의 사건으로 분류되며, 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.","피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다.",현지 주민의 공포와 혼란 때문에 증언이 서로 어긋난다.,"생존자 증언, 피해자 명단, 이동 경로, 현장 오염 흔적",구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다.,잔향·던전·재앙성 흔적이 확인되면 해당 전문 공고로 재분류한다.,"[소문·괴담 검증] 소문·괴담 검증 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다. 주요 목표는 생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다. 확인해야 할 미지는 피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다. 실패 시 구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다."
3,notice_003_solver_탐사대_구조,solver,해결사,민생·구조,탐사대 구조,하급~중급,탐사대 구조 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.,생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다.,"현장은 '탐사대 구조' 성격의 사건으로 분류되며, 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.","피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다.",현지 주민의 공포와 혼란 때문에 증언이 서로 어긋난다.,"생존자 증언, 피해자 명단, 이동 경로, 현장 오염 흔적",구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다.,잔향·던전·재앙성 흔적이 확인되면 해당 전문 공고로 재분류한다.,"[탐사대 구조] 탐사대 구조 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다. 주요 목표는 생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다. 확인해야 할 미지는 피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다. 실패 시 구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다."
4,notice_004_solver_피난로_확보,solver,해결사,민생·구조,피난로 확보,하급~중급,피난로 확보 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.,생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다.,"현장은 '피난로 확보' 성격의 사건으로 분류되며, 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.","피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다.",현지 주민의 공포와 혼란 때문에 증언이 서로 어긋난다.,"생존자 증언, 피해자 명단, 이동 경로, 현장 오염 흔적",구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다.,잔향·던전·재앙성 흔적이 확인되면 해당 전문 공고로 재분류한다.,"[피난로 확보] 피난로 확보 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다. 주요 목표는 생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다. 확인해야 할 미지는 피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다. 실패 시 구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다."
5,notice_005_solver_공동체_회복_지원,solver,해결사,민생·구조,공동체 회복 지원,하급~중급,공동체 회복 지원 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.,생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다.,"현장은 '공동체 회복 지원' 성격의 사건으로 분류되며, 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다.","피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다.",현지 주민의 공포와 혼란 때문에 증언이 서로 어긋난다.,"생존자 증언, 피해자 명단, 이동 경로, 현장 오염 흔적",구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다.,잔향·던전·재앙성 흔적이 확인되면 해당 전문 공고로 재분류한다.,"[공동체 회복 지원] 공동체 회복 지원 공고는 문명권 내부의 피해와 고립 상황을 수습하고 생존자의 증언을 기록하는 공고다. 주요 목표는 생존자를 구조하고 현장에서 확인된 증언과 피해 양상을 기록한다. 확인해야 할 미지는 피해가 단순 사고인지, 던전·잔향·공간 왜곡과 연결된 현상인지 확인해야 한다. 실패 시 구조 지연으로 민간 피해가 확대되거나 핵심 증언이 사라진다."
6,notice_006_solver_던전_발생_대응,solver,해결사,던전 대응,던전 발생 대응,중급,던전 발생 대응 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.,"던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다.","현장은 '던전 발생 대응' 성격의 사건으로 분류되며, 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.","던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다.",현장을 통제하려는 지역 세력이나 경쟁 집단이 위험도를 축소하려 한다.,"입구 좌표, 내부 구조도, 핵 반응 기록, 가디언 관측 자료",던전 위험도 판정에 실패해 후속 피해가 발생한다.,핵이나 룬 반응이 확인되면 정제·자원 또는 잔향의 룬 대응으로 확장한다.,"[던전 발생 대응] 던전 발생 대응 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다. 주요 목표는 던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다. 확인해야 할 미지는 던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다. 실패 시 던전 위험도 판정에 실패해 후속 피해가 발생한다."
7,notice_007_solver_던전_완전_제압,solver,해결사,던전 대응,던전 완전 제압,중급,던전 완전 제압 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.,"던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다.","현장은 '던전 완전 제압' 성격의 사건으로 분류되며, 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.","던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다.",현장을 통제하려는 지역 세력이나 경쟁 집단이 위험도를 축소하려 한다.,"입구 좌표, 내부 구조도, 핵 반응 기록, 가디언 관측 자료",던전 위험도 판정에 실패해 후속 피해가 발생한다.,핵이나 룬 반응이 확인되면 정제·자원 또는 잔향의 룬 대응으로 확장한다.,"[던전 완전 제압] 던전 완전 제압 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다. 주요 목표는 던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다. 확인해야 할 미지는 던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다. 실패 시 던전 위험도 판정에 실패해 후속 피해가 발생한다."
8,notice_008_solver_통제_던전_감사,solver,해결사,던전 대응,통제 던전 감사,중급,통제 던전 감사 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.,"던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다.","현장은 '통제 던전 감사' 성격의 사건으로 분류되며, 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.","던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다.",현장을 통제하려는 지역 세력이나 경쟁 집단이 위험도를 축소하려 한다.,"입구 좌표, 내부 구조도, 핵 반응 기록, 가디언 관측 자료",던전 위험도 판정에 실패해 후속 피해가 발생한다.,핵이나 룬 반응이 확인되면 정제·자원 또는 잔향의 룬 대응으로 확장한다.,"[통제 던전 감사] 통제 던전 감사 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다. 주요 목표는 던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다. 확인해야 할 미지는 던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다. 실패 시 던전 위험도 판정에 실패해 후속 피해가 발생한다."
9,notice_009_solver_살아있는_던전_추적,solver,해결사,던전 대응,살아있는 던전 추적,중급,살아있는 던전 추적 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.,"던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다.","현장은 '살아있는 던전 추적' 성격의 사건으로 분류되며, 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.","던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다.",현장을 통제하려는 지역 세력이나 경쟁 집단이 위험도를 축소하려 한다.,"입구 좌표, 내부 구조도, 핵 반응 기록, 가디언 관측 자료",던전 위험도 판정에 실패해 후속 피해가 발생한다.,핵이나 룬 반응이 확인되면 정제·자원 또는 잔향의 룬 대응으로 확장한다.,"[살아있는 던전 추적] 살아있는 던전 추적 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다. 주요 목표는 던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다. 확인해야 할 미지는 던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다. 실패 시 던전 위험도 판정에 실패해 후속 피해가 발생한다."
10,notice_010_solver_던전_부산_위험_정리,solver,해결사,던전 대응,던전 부산 위험 정리,중급,던전 부산 위험 정리 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.,"던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다.","현장은 '던전 부산 위험 정리' 성격의 사건으로 분류되며, 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다.","던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다.",현장을 통제하려는 지역 세력이나 경쟁 집단이 위험도를 축소하려 한다.,"입구 좌표, 내부 구조도, 핵 반응 기록, 가디언 관측 자료",던전 위험도 판정에 실패해 후속 피해가 발생한다.,핵이나 룬 반응이 확인되면 정제·자원 또는 잔향의 룬 대응으로 확장한다.,"[던전 부산 위험 정리] 던전 부산 위험 정리 공고는 던전의 발생·운영·붕괴·이동 현상을 조사하고 위험도를 재분류하는 공고다. 주요 목표는 던전의 구조, 핵 반응, 가디언, 잔류 위험을 확인하고 대응 절차를 결정한다. 확인해야 할 미지는 던전의 핵심 원인이 자연 발생인지, 외부 오염 또는 인위적 조작인지 확인해야 한다. 실패 시 던전 위험도 판정에 실패해 후속 피해가 발생한다."
