주사위,지형명,지형 설명,isAngra
1,지하동굴,"좁은 통로와 넓은 공동이 불규칙하게 이어진 지형이다. 어둠과 메아리, 습기 때문에 거리감과 방향감각이 쉽게 흐려진다.",
2,석회동굴,"석순과 종유석이 촘촘히 자라난 동굴 지형이다. 기둥처럼 솟은 암석이 시야를 가리고, 부서지면 날카로운 파편이 흩어진다.",
3,수정동굴,"수정과 광물이 벽과 천장에 자라난 지형이다. 빛이 굴절되어 시야가 어긋나고, 일부 결정은 마나나 충격에 반응할 수 있다.",
4,용암동굴,"지하 깊은 곳에 뜨거운 균열과 용암 흐름이 있는 지형이다. 안전한 발판이 제한되며, 열기와 유독 가스가 전투를 압박한다.",
5,얼음동굴,"얼어붙은 벽과 미끄러운 바닥이 이어지는 지형이다. 소리가 멀리 울리고, 발판이 깨지거나 미끄러질 위험이 크다.",
6,폐광,"버려진 갱도와 지지대, 광차 선로가 남은 지형이다. 붕괴 위험이 있으며, 어두운 옆길과 수직 갱도가 많아 매복에 적합하다.",
7,지하수로,"좁은 통로와 물길이 함께 이어진 지형이다. 물살과 낮은 천장, 악취가 전투를 방해하고 수면 아래의 움직임을 확인하기 어렵다.",
8,하수도,"도시 아래에 펼쳐진 오염된 지하 통로다. 독성 물질과 좁은 길, 복잡한 갈림길이 많아 추적전과 은신전에 적합하다.",
9,지하묘지,"석관과 매장실, 낡은 장례 장식이 이어진 지형이다. 좁은 방과 통로가 많고, 죽은 자의 흔적이 전장을 무겁게 만든다.",
10,지하유적,"지하에 묻힌 고대 문명의 구조물이다. 낡은 장치와 봉인문, 붕괴된 회랑이 섞여 있으며, 단순 동굴보다 인공적 규칙성이 강하다.",
11,숲,"나무와 수풀이 밀집한 기본 자연 지형이다. 시야가 짧고 은폐가 쉬우며, 짐승형 적이나 추적자가 유리하다.",
12,깊은숲,"오래된 나무와 두꺼운 그늘이 이어지는 지형이다. 빛이 적고 길이 희미해 방향을 잃기 쉬우며, 오래 머무를수록 불안감이 커진다.",
13,안개숲,안개가 나무 사이에 낮게 깔린 지형이다. 소리와 그림자가 왜곡되어 적의 위치를 확신하기 어렵다.,
14,마른숲,"불에 타거나 말라붙은 나무들이 서 있는 지형이다. 엄폐물은 많지만 불이 붙기 쉽고, 가지가 부러지는 소리가 위치를 드러낸다.",
15,덩굴숲,"덩굴과 뿌리가 길을 막는 지형이다. 이동이 느려지고, 전투 중 구속이나 포획 효과를 넣기 좋다.",
16,침엽수림,"높고 곧은 나무들이 빽빽하게 선 지형이다. 시야가 세로로 길게 나뉘고, 눈이나 안개와 결합하면 음산한 분위기가 강해진다.",
17,대초원,"탁 트인 풀밭과 완만한 언덕이 이어지는 지형이다. 엄폐물이 적어 원거리 시야가 좋지만, 매복보다 추격과 돌진이 두드러진다.",
18,꽃밭,아름다운 꽃과 낮은 풀이 넓게 펼쳐진 지형이다. 평화로워 보이지만 독성 꽃가루나 환각성 향기를 넣기 좋다.,
19,습지,"물이 얕게 고이고 풀이 빽빽한 지형이다. 발밑이 불안정하고, 수면 아래 생물이나 늪지 함정이 숨어 있을 수 있다.",
20,늪지,"진흙과 수렁, 썩은 물이 넓게 퍼진 지형이다. 이동이 제한되고 독성 생물, 매복형 적, 포획형 적과 잘 어울린다.",
21,강가,"흐르는 강과 둔치, 자갈밭이 있는 지형이다. 물길이 전장을 나누며, 건너기와 밀려남이 중요한 변수가 된다.",
22,호숫가,"넓은 수면과 완만한 둔덕이 있는 지형이다. 수면 아래의 위협, 안개, 반사 효과를 활용하기 좋다.",
23,폭포,"강한 물소리와 물안개가 가득한 지형이다. 소통이 어렵고 바위가 미끄러우며, 뒤편에 숨겨진 공간을 넣기 좋다.",
24,해안절벽,"바다와 절벽이 맞닿은 지형이다. 바람과 파도 소리가 강하고, 추락이나 밀려남이 큰 위협이 된다.",
25,모래해변,"부드러운 모래와 얕은 파도가 이어지는 지형이다. 발이 빠져 움직임이 둔해지고, 수륙 양용 적을 배치하기 좋다.",
26,갯벌,"진흙과 바닷물이 섞인 평평한 지형이다. 이동이 매우 불안정하고, 밀물과 썰물에 따라 전장 조건이 바뀐다.",
27,사막,"뜨거운 모래와 넓은 시야가 특징인 지형이다. 엄폐물이 적고 체력 소모가 크며, 잠복형 생물과 모래폭풍을 넣기 좋다.",
28,사구,"높낮이가 큰 사구가 이어지는 지형이다. 시야와 사격선이 계속 바뀌며, 발밑의 모래가 무너질 수 있다.",
