sense_id,sense_ko,field_observation,tactical_note
normal_sight,일반 시각,빛과 시야 조건에 의존한다,어둠·안개·차폐에 약함
darkvision,암시야,어둠 속에서도 목표를 식별한다,야간 피해와 동굴 활동
blindsight,맹시,시각 없이 주변을 감지한다,실명·어둠이 통하지 않음
tremorsense,진동 감지,지면의 떨림으로 위치를 파악한다,정지·부유·비행으로 회피 가능
truesight,진실시야,환영·투명화·변형을 꿰뚫어 본다,위장과 환상 대응 어려움
keen_smell,예민한 후각,피·부패·생물 냄새를 멀리서 추적한다,풍향과 냄새 차단 중요
keen_hearing,예민한 청각,작은 소리와 진동성 음향에 반응한다,침묵 이동 필요
magic_sense,마력 감지,마법·정제물·핵 반응에 끌리거나 반응한다,장비·시료 운송 위험
life_sense,생명 감지,살아 있는 생명체의 온기나 생명력을 추적한다,부상자·밀집 인원 위험
fear_sense,공포 감지,공포·불안·정신적 동요에 반응한다,공포 관리가 생존 요소
blood_sense,혈향 감지,피와 상처 냄새를 우선 추적한다,부상자 엄호 필요
light_sense,빛 반응 감지,빛·정화·광원에 민감하게 반응한다,횃불/성역 운용 주의
resonance_sense,잔향 감지,잔향 농도나 침식자를 감지하는 듯 행동한다,잔향 노출자 위험
blackstone_sense,흑마석 감지,흑마석·정제 실패품·결정에 끌린다,위험 운송 공고
