concept_id,notice_no,route_id,route_name,notice_group,notice_name,concept_no,concept_keyword,public_title,recommended_rank,public_summary,primary_objective,field_situation,unknown_factor,complication,record_target,failure_condition,follow_up,public_notice_text
concept_001_01,1,solver,해결사,민생·구조,구조·구호,1,던전에 말려든 마을 구조,구조·구호 – 던전에 말려든 마을 구조,하급~중급,"던전에 말려든 마을 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다.,"현장에서는 던전에 말려든 마을 구조와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[구조·구호 – 던전에 말려든 마을 구조] 던전에 말려든 마을 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다는 것이다. 현장에서는 던전에 말려든 마을 구조와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_001_02,1,solver,해결사,민생·구조,구조·구호,2,유적 붕괴 생존자 구출,구조·구호 – 유적 붕괴 생존자 구출,하급~중급,"유적 붕괴 생존자 구출 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다.,"현장에서는 유적 붕괴 생존자 구출와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[구조·구호 – 유적 붕괴 생존자 구출] 유적 붕괴 생존자 구출 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다는 것이다. 현장에서는 유적 붕괴 생존자 구출와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_001_03,1,solver,해결사,민생·구조,구조·구호,3,잔향 오염 치료소 구조,구조·구호 – 잔향 오염 치료소 구조,하급~중급,"잔향 오염 치료소 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다.,"현장에서는 잔향 오염 치료소 구조와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[구조·구호 – 잔향 오염 치료소 구조] 잔향 오염 치료소 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다는 것이다. 현장에서는 잔향 오염 치료소 구조와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_001_04,1,solver,해결사,민생·구조,구조·구호,4,지하 수로 고립 주민 구조,구조·구호 – 지하 수로 고립 주민 구조,하급~중급,"지하 수로 고립 주민 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다.,"현장에서는 지하 수로 고립 주민 구조와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[구조·구호 – 지하 수로 고립 주민 구조] 지하 수로 고립 주민 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다는 것이다. 현장에서는 지하 수로 고립 주민 구조와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_001_05,1,solver,해결사,민생·구조,구조·구호,5,공간 왜곡 피난민 구조,구조·구호 – 공간 왜곡 피난민 구조,하급~중급,"공간 왜곡 피난민 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다.,"현장에서는 공간 왜곡 피난민 구조와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[구조·구호 – 공간 왜곡 피난민 구조] 공간 왜곡 피난민 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다는 것이다. 현장에서는 공간 왜곡 피난민 구조와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_001_06,1,solver,해결사,민생·구조,구조·구호,6,안개 잔류 구역 생존자 구조,구조·구호 – 안개 잔류 구역 생존자 구조,하급~중급,"안개 잔류 구역 생존자 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다.,"현장에서는 안개 잔류 구역 생존자 구조와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[구조·구호 – 안개 잔류 구역 생존자 구조] 안개 잔류 구역 생존자 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다는 것이다. 현장에서는 안개 잔류 구역 생존자 구조와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_001_07,1,solver,해결사,민생·구조,구조·구호,7,붕괴 광산 노동자 구조,구조·구호 – 붕괴 광산 노동자 구조,하급~중급,"붕괴 광산 노동자 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다.,"현장에서는 붕괴 광산 노동자 구조와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[구조·구호 – 붕괴 광산 노동자 구조] 붕괴 광산 노동자 구조 사안이 접수되었다. 연맹은 이를 구조·구호 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 대상자를 구조하고 생존자 증언과 현장 잔류 반응을 기록한다는 것이다. 현장에서는 붕괴 광산 노동자 구조와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_002_01,2,solver,해결사,민생·구조,소문·괴담 검증,1,같은 꿈을 꾸는 아이들,소문·괴담 검증 – 같은 꿈을 꾸는 아이들,하급~중급,"같은 꿈을 꾸는 아이들 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다.,"현장에서는 같은 꿈을 꾸는 아이들와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[소문·괴담 검증 – 같은 꿈을 꾸는 아이들] 같은 꿈을 꾸는 아이들 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다는 것이다. 현장에서는 같은 꿈을 꾸는 아이들와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_002_02,2,solver,해결사,민생·구조,소문·괴담 검증,2,밤마다 울리는 검은 종소리,소문·괴담 검증 – 밤마다 울리는 검은 종소리,하급~중급,"밤마다 울리는 검은 종소리 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다.,"현장에서는 밤마다 울리는 검은 종소리와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[소문·괴담 검증 – 밤마다 울리는 검은 종소리] 밤마다 울리는 검은 종소리 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다는 것이다. 현장에서는 밤마다 울리는 검은 종소리와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
concept_002_03,2,solver,해결사,민생·구조,소문·괴담 검증,3,사라졌다 돌아오는 골목,소문·괴담 검증 – 사라졌다 돌아오는 골목,하급~중급,"사라졌다 돌아오는 골목 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다.",소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다.,"현장에서는 사라졌다 돌아오는 골목와 관련된 피해, 증언, 흔적이 확인되었다. 초기 보고만으로는 단순 사고와 미지 현상을 구분하기 어렵다.",피해가 단순 사고인지 던전·잔향·공간 왜곡과 연결된 사건인지 확인해야 한다.,"현지 인원은 구조를 원하지만, 증언이 엇갈리고 일부 생존자는 현장에 남으려 한다.","생존자 명단, 증언 기록, 피해 지점 좌표, 잔류 반응 측정값.",구조 대상이 추가 피해를 입거나 증언과 기록을 확보하지 못한다.,잔향·룬·던전 반응이 확인되면 해당 전문 공고로 재분류한다.,"[소문·괴담 검증 – 사라졌다 돌아오는 골목] 사라졌다 돌아오는 골목 사안이 접수되었다. 연맹은 이를 소문·괴담 검증 공고로 분류하고, 현장 확인과 위험 기록을 요청한다. 주요 목표는 소문의 발원지와 반복 조건을 확인하고 실제 위험 여부를 판정한다는 것이다. 현장에서는 사라졌다 돌아오는 골목와 관련된 피해와 흔적이 확인되었으며, 연맹은 기록과 증거 확보를 우선한다."
