link_id,major_type_en,subtype_id,resource_id,weight,required,notes
srl_aberration_001_psychic_tissue,Aberration,aberration_001,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_001_aberrant_tentacle,Aberration,aberration_001,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_001_ichor_sample,Aberration,aberration_001,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_001_brain,Aberration,aberration_001,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_001_slime_sample,Aberration,aberration_001,slime_sample,83,false,촉수 분류
srl_aberration_001_blood_sample,Aberration,aberration_001,blood_sample,20,false,범용 보정 후보
srl_aberration_001_hide,Aberration,aberration_001,hide,20,false,범용 보정 후보
srl_aberration_001_claw,Aberration,aberration_001,claw,20,false,범용 보정 후보
srl_aberration_002_psychic_tissue,Aberration,aberration_002,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_002_aberrant_tentacle,Aberration,aberration_002,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_002_ichor_sample,Aberration,aberration_002,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_002_brain,Aberration,aberration_002,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_002_blood_sample,Aberration,aberration_002,blood_sample,20,false,범용 보정 후보
srl_aberration_002_hide,Aberration,aberration_002,hide,20,false,범용 보정 후보
srl_aberration_002_claw,Aberration,aberration_002,claw,20,false,범용 보정 후보
srl_aberration_003_psychic_tissue,Aberration,aberration_003,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_003_aberrant_tentacle,Aberration,aberration_003,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_003_ichor_sample,Aberration,aberration_003,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_003_brain,Aberration,aberration_003,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_003_eye,Aberration,aberration_003,eye,90,true,시선/광선 분류
srl_aberration_003_blood_sample,Aberration,aberration_003,blood_sample,20,false,범용 보정 후보
srl_aberration_003_hide,Aberration,aberration_003,hide,20,false,범용 보정 후보
srl_aberration_003_claw,Aberration,aberration_003,claw,20,false,범용 보정 후보
srl_aberration_004_psychic_tissue,Aberration,aberration_004,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_004_aberrant_tentacle,Aberration,aberration_004,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_004_ichor_sample,Aberration,aberration_004,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_004_brain,Aberration,aberration_004,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_004_slime_sample,Aberration,aberration_004,slime_sample,90,true,기생/공생 분류
srl_aberration_004_blood_sample,Aberration,aberration_004,blood_sample,20,false,범용 보정 후보
srl_aberration_004_hide,Aberration,aberration_004,hide,20,false,범용 보정 후보
srl_aberration_004_claw,Aberration,aberration_004,claw,20,false,범용 보정 후보
srl_aberration_005_psychic_tissue,Aberration,aberration_005,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_005_aberrant_tentacle,Aberration,aberration_005,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_005_ichor_sample,Aberration,aberration_005,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_005_brain,Aberration,aberration_005,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_005_slime_sample,Aberration,aberration_005,slime_sample,90,true,기생/공생 분류
srl_aberration_005_blood_sample,Aberration,aberration_005,blood_sample,20,false,범용 보정 후보
srl_aberration_005_hide,Aberration,aberration_005,hide,20,false,범용 보정 후보
srl_aberration_005_claw,Aberration,aberration_005,claw,20,false,범용 보정 후보
srl_aberration_006_psychic_tissue,Aberration,aberration_006,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_006_aberrant_tentacle,Aberration,aberration_006,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_006_ichor_sample,Aberration,aberration_006,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_006_brain,Aberration,aberration_006,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_006_blood_sample,Aberration,aberration_006,blood_sample,20,false,범용 보정 후보
srl_aberration_006_hide,Aberration,aberration_006,hide,20,false,범용 보정 후보
srl_aberration_006_claw,Aberration,aberration_006,claw,20,false,범용 보정 후보
srl_aberration_007_psychic_tissue,Aberration,aberration_007,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_007_aberrant_tentacle,Aberration,aberration_007,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_007_ichor_sample,Aberration,aberration_007,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_007_brain,Aberration,aberration_007,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_007_blood_sample,Aberration,aberration_007,blood_sample,20,false,범용 보정 후보
srl_aberration_007_hide,Aberration,aberration_007,hide,20,false,범용 보정 후보
srl_aberration_007_claw,Aberration,aberration_007,claw,20,false,범용 보정 후보
srl_aberration_008_psychic_tissue,Aberration,aberration_008,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_008_aberrant_tentacle,Aberration,aberration_008,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_008_ichor_sample,Aberration,aberration_008,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_008_brain,Aberration,aberration_008,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_008_slime_sample,Aberration,aberration_008,slime_sample,90,true,수중 분류
srl_aberration_008_scale,Aberration,aberration_008,scale,83,false,수중 분류
srl_aberration_008_claw,Aberration,aberration_008,claw,90,true,굴파기/지하 분류
srl_aberration_008_hide,Aberration,aberration_008,hide,83,false,굴파기/지하 분류
srl_aberration_008_blood_sample,Aberration,aberration_008,blood_sample,20,false,범용 보정 후보
srl_aberration_009_psychic_tissue,Aberration,aberration_009,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_009_aberrant_tentacle,Aberration,aberration_009,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_009_ichor_sample,Aberration,aberration_009,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_009_brain,Aberration,aberration_009,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_009_blood_sample,Aberration,aberration_009,blood_sample,20,false,범용 보정 후보
srl_aberration_009_hide,Aberration,aberration_009,hide,20,false,범용 보정 후보
srl_aberration_009_claw,Aberration,aberration_009,claw,20,false,범용 보정 후보
srl_aberration_010_psychic_tissue,Aberration,aberration_010,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_010_aberrant_tentacle,Aberration,aberration_010,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_010_ichor_sample,Aberration,aberration_010,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_010_brain,Aberration,aberration_010,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_010_blood_sample,Aberration,aberration_010,blood_sample,20,false,범용 보정 후보
srl_aberration_010_hide,Aberration,aberration_010,hide,20,false,범용 보정 후보
srl_aberration_010_claw,Aberration,aberration_010,claw,20,false,범용 보정 후보
srl_aberration_011_psychic_tissue,Aberration,aberration_011,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_011_aberrant_tentacle,Aberration,aberration_011,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_011_ichor_sample,Aberration,aberration_011,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_011_brain,Aberration,aberration_011,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_011_eye,Aberration,aberration_011,eye,90,true,시선/광선 분류
srl_aberration_011_blood_sample,Aberration,aberration_011,blood_sample,20,false,범용 보정 후보
srl_aberration_011_hide,Aberration,aberration_011,hide,20,false,범용 보정 후보
srl_aberration_011_claw,Aberration,aberration_011,claw,20,false,범용 보정 후보
srl_aberration_012_psychic_tissue,Aberration,aberration_012,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_012_aberrant_tentacle,Aberration,aberration_012,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_012_ichor_sample,Aberration,aberration_012,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_012_brain,Aberration,aberration_012,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_012_eye,Aberration,aberration_012,eye,90,true,시선/광선 분류
srl_aberration_012_blood_sample,Aberration,aberration_012,blood_sample,20,false,범용 보정 후보
srl_aberration_012_hide,Aberration,aberration_012,hide,20,false,범용 보정 후보
srl_aberration_012_claw,Aberration,aberration_012,claw,20,false,범용 보정 후보
srl_aberration_013_psychic_tissue,Aberration,aberration_013,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_013_aberrant_tentacle,Aberration,aberration_013,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_013_ichor_sample,Aberration,aberration_013,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_013_brain,Aberration,aberration_013,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_013_blood_sample,Aberration,aberration_013,blood_sample,20,false,범용 보정 후보
srl_aberration_013_hide,Aberration,aberration_013,hide,20,false,범용 보정 후보
srl_aberration_013_claw,Aberration,aberration_013,claw,20,false,범용 보정 후보
srl_aberration_014_psychic_tissue,Aberration,aberration_014,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_014_aberrant_tentacle,Aberration,aberration_014,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_014_ichor_sample,Aberration,aberration_014,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_014_brain,Aberration,aberration_014,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_014_fey_dust,Aberration,aberration_014,fey_dust,90,true,요정계 분류
srl_aberration_014_fey_charm_fragment,Aberration,aberration_014,fey_charm_fragment,83,false,요정계 분류
srl_aberration_014_dream_pollen,Aberration,aberration_014,dream_pollen,76,false,요정계 분류
srl_aberration_014_blood_sample,Aberration,aberration_014,blood_sample,20,false,범용 보정 후보
srl_aberration_014_hide,Aberration,aberration_014,hide,20,false,범용 보정 후보
srl_aberration_014_claw,Aberration,aberration_014,claw,20,false,범용 보정 후보
srl_aberration_015_psychic_tissue,Aberration,aberration_015,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_015_aberrant_tentacle,Aberration,aberration_015,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_015_ichor_sample,Aberration,aberration_015,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_015_brain,Aberration,aberration_015,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_015_blood_sample,Aberration,aberration_015,blood_sample,20,false,범용 보정 후보
srl_aberration_015_hide,Aberration,aberration_015,hide,20,false,범용 보정 후보
srl_aberration_015_claw,Aberration,aberration_015,claw,20,false,범용 보정 후보
srl_aberration_016_psychic_tissue,Aberration,aberration_016,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_016_aberrant_tentacle,Aberration,aberration_016,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_016_ichor_sample,Aberration,aberration_016,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_016_brain,Aberration,aberration_016,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_016_eye,Aberration,aberration_016,eye,90,true,시선/광선 분류
srl_aberration_016_blood_sample,Aberration,aberration_016,blood_sample,20,false,범용 보정 후보
srl_aberration_016_hide,Aberration,aberration_016,hide,20,false,범용 보정 후보
srl_aberration_016_claw,Aberration,aberration_016,claw,20,false,범용 보정 후보
srl_aberration_017_psychic_tissue,Aberration,aberration_017,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_017_aberrant_tentacle,Aberration,aberration_017,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_017_ichor_sample,Aberration,aberration_017,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_017_brain,Aberration,aberration_017,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_017_slime_sample,Aberration,aberration_017,slime_sample,90,true,기생/공생 분류
srl_aberration_017_blood_sample,Aberration,aberration_017,blood_sample,20,false,범용 보정 후보
srl_aberration_017_hide,Aberration,aberration_017,hide,20,false,범용 보정 후보
srl_aberration_017_claw,Aberration,aberration_017,claw,20,false,범용 보정 후보
srl_aberration_018_psychic_tissue,Aberration,aberration_018,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_018_aberrant_tentacle,Aberration,aberration_018,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_018_ichor_sample,Aberration,aberration_018,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_018_brain,Aberration,aberration_018,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_018_blood_sample,Aberration,aberration_018,blood_sample,20,false,범용 보정 후보
srl_aberration_018_hide,Aberration,aberration_018,hide,20,false,범용 보정 후보
srl_aberration_018_claw,Aberration,aberration_018,claw,20,false,범용 보정 후보
srl_aberration_019_psychic_tissue,Aberration,aberration_019,psychic_tissue,65,true,Aberration 대분류 기본 자원
srl_aberration_019_aberrant_tentacle,Aberration,aberration_019,aberrant_tentacle,60,false,Aberration 대분류 기본 자원
srl_aberration_019_ichor_sample,Aberration,aberration_019,ichor_sample,55,false,Aberration 대분류 기본 자원
srl_aberration_019_brain,Aberration,aberration_019,brain,50,false,Aberration 대분류 기본 자원
srl_aberration_019_ooze_core_sample,Aberration,aberration_019,ooze_core_sample,90,true,점액/산성 분류
srl_aberration_019_acidic_slime,Aberration,aberration_019,acidic_slime,83,false,점액/산성 분류
srl_aberration_019_slime_sample,Aberration,aberration_019,slime_sample,76,false,점액/산성 분류
srl_aberration_019_acid_gland,Aberration,aberration_019,acid_gland,69,false,점액/산성 분류
srl_aberration_019_scale,Aberration,aberration_019,scale,83,false,수중 분류
srl_aberration_019_blood_sample,Aberration,aberration_019,blood_sample,20,false,범용 보정 후보
srl_aberration_019_hide,Aberration,aberration_019,hide,20,false,범용 보정 후보
srl_aberration_019_claw,Aberration,aberration_019,claw,20,false,범용 보정 후보
srl_aberration_020_psychic_tissue,Aberration,aberration_020,psychic_tissue,65,true,Aberration 대분류 기본 자원
