link_id,trace_id,resource_id,weight_bonus,notes
trl_bone_pile_bone,bone_pile,bone,60,뼈무더기에서 일반 골격 자원 회수 가능
trl_bone_pile_skull,bone_pile,skull,35,두개골 혼재 가능
trl_skull_pile_skull,skull_pile,skull,70,두개골 무더기에서 두개골 회수 가능
trl_grave_soil_grave_dust,grave_soil,grave_dust,50,무덤 흙에서 사령성 먼지 회수 가능
trl_cold_spot_wraith_ectoplasm,cold_spot,wraith_ectoplasm,40,영체 잔여물 가능성
trl_black_ichor_ichor_sample,black_ichor,ichor_sample,70,검은 체액 흔적에서 체액 시료 회수
trl_slime_trail_slime_sample,slime_trail,slime_sample,70,점액 흔적에서 점액 시료 회수
trl_acid_scars_acid_gland,acid_scars,acid_gland,35,산성 위협의 분비기관 후보
trl_spore_cloud_residue_spore_sac,spore_cloud_residue,spore_sac,55,포자 흔적이 있으면 포자낭 후보
trl_fungal_threads_fungal_mycelium,fungal_threads,fungal_mycelium,65,균사 흔적에서 균사 조직 회수
trl_scorch_marks_elemental_ember,scorch_marks,elemental_ember,35,화염성 잔재 후보
trl_frost_rime_elemental_ice_core,frost_rime,elemental_ice_core,35,냉기성 잔재 후보
trl_rune_marks_rune_etched_bone,rune_marks,rune_etched_bone,45,룬 흔적이 골격형과 결합할 수 있음
trl_rune_marks_rune_etched_hide,rune_marks,rune_etched_hide,45,룬 흔적이 외피 자원과 결합할 수 있음
trl_blackstone_shards_blackstone_crystal,blackstone_shards,blackstone_crystal,80,흑마석 파편 흔적에서 결정 회수
trl_core_resonance_mark_core_shard,core_resonance_mark,core_shard,60,핵 공명 흔적에서 핵 파편 후보
trl_fog_residue_fog_condensate,fog_residue,fog_condensate,70,안개 잔류에서 응축액 후보
trl_large_claw_gouge_claw,large_claw_gouge,claw,40,발톱 흔적에서 발톱 자원 후보
trl_breath_scorch_line_dragon_breath_sac,breath_scorch_line,dragon_breath_sac,35,브레스 흔적에서 브레스 기관 후보
trl_mechanical_scrapes_construct_gear,mechanical_scrapes,construct_gear,50,기계 마찰흔에서 구조체 부품 후보
trl_arcane_circuit_imprint_arcane_circuit,arcane_circuit_imprint,arcane_circuit,55,회로 자국에서 회로편 후보
trl_bone_pile_bone,bone_pile,bone,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_bone_dust,bone_pile,bone_dust,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_rib_bone,bone_pile,rib_bone,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_spine_bone,bone_pile,spine_bone,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_necrotic_bone,bone_pile,necrotic_bone,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_rune_etched_bone,bone_pile,rune_etched_bone,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_fresh_bone_piece,bone_pile,fresh_bone_piece,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_dried_bone_piece,bone_pile,dried_bone_piece,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_blackened_bone_piece,bone_pile,blackened_bone_piece,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_crystal_bone_piece,bone_pile,crystal_bone_piece,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_rune_bone_piece,bone_pile,rune_bone_piece,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_necrotic_bone_piece,bone_pile,necrotic_bone_piece,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_fog_tainted_bone_piece,bone_pile,fog_tainted_bone_piece,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_refined_candidate_bone_piece,bone_pile,refined_candidate_bone_piece,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_mutated_bone_piece,bone_pile,mutated_bone_piece,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_sanctified_bone,bone_pile,sanctified_bone,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_bone_pile_giant_bone,bone_pile,giant_bone,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_blood_sample,dried_blood,blood_sample,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_fiendish_blood,dried_blood,fiendish_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_fresh_blood,dried_blood,fresh_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_dried_blood,dried_blood,dried_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_blackened_blood,dried_blood,blackened_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_crystal_blood,dried_blood,crystal_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_rune_blood,dried_blood,rune_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_necrotic_blood,dried_blood,necrotic_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_fog_tainted_blood,dried_blood,fog_tainted_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_refined_candidate_blood,dried_blood,refined_candidate_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_mutated_blood,dried_blood,mutated_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_dried_blood_dragon_blood,dried_blood,dragon_blood,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_slime_trail_slime_sample,slime_trail,slime_sample,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_slime_trail_fresh_mucus,slime_trail,fresh_mucus,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_slime_trail_dried_mucus,slime_trail,dried_mucus,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_slime_trail_blackened_mucus,slime_trail,blackened_mucus,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
trl_slime_trail_crystal_mucus,slime_trail,crystal_mucus,30,흔적 태그와 자원 태그가 일치하여 후보 가중치 상승
